id,name,lat,lng,town,zipcode,street,street_number,radius,hint_examples,hint_required,area_kind,navigational_lat,navigational_lng,full_address,pickup_description,return_description,description,distance,polygon,car_count
135754129,Sandplatz_Piazza Rena,46.6701322102183,11.1651819301242,Meran,39012,Sandplatz,,60,,false,polygon,,,"Sandplatz, 39012 Meran","Sandplatz_Piazza Rena Meran Zentrum_Merano Centro","Sandplatz_Piazza Rena Meran Zentrum_Merano Centro","Sandplatz_Piazza Rena Meran Zentrum_Merano Centro",,"(46.67032943526684,11.164616299053012), (46.66996560698374,11.164518628914742), (46.66973581943779,11.164993026729205), (46.66973964923824,11.165612534463385), (46.670120713025,11.165821827616826), (46.67046730639743,11.165757644383103), (46.670502093383135,11.164604072513173), (46.67037871300022,11.164586403911192), (46.67032943526684,11.164616299053012)",60
1269278439,Kornplatz_Piazza del Grano,46.6725259496189,11.1591598904964,Meran,39012,Kornplatz,3,50,,false,polygon,,,"Kornplatz 3, 39012 Meran","Kornplatz_Piazza del Grano Meran Zentrum_Merano Centro","Kornplatz_Piazza del Grano Meran Zentrum_Merano Centro","Kornplatz_Piazza del Grano Meran Zentrum_Merano Centro",,"(46.67270351229894,11.15866157313726), (46.67224247491092,11.158698607088768), (46.672235214448165,11.15951864458651), (46.672712973768796,11.159758898877095), (46.672796921455245,11.159399445235264), (46.67280457641655,11.15873937169436), (46.67270351229894,11.15866157313726)",60
770559437,Bahnhof Untermais_Stazione Maia Bassa,46.6563591168723,11.1484266999202,Meran,39012,Gampenstraße,107,37,,false,polygon,,,"Gampenstraße 107, 39012 Meran","Bahnhof Untermais_Stazione Maia Bassa ","Bahnhof Untermais_Stazione Maia Bassa","Bahnhof Untermais_Stazione Maia Bassa",,"(46.656625113843376,11.148281246423721), (46.65643365102255,11.148010343313217), (46.65612804550014,11.148152500391006), (46.65615197852509,11.1488176882267), (46.656551474377096,11.1487452685833), (46.656625113843376,11.148281246423721)",60
304968321,Meran Bahnhof_Stazione Merano,46.6724091363668,11.1504930651344,Meran,39012,Bahnhofsplatz,,130,,false,polygon,,,"Bahnhofsplatz, 39012 Meran",Meran Bahnhof_Stazione Merano,Meran Bahnhof_Stazione Merano,Meran Bahnhof_Stazione Merano,,"(46.67278792847563,11.149173977991957), (46.67173436686008,11.149798859134409), (46.67169761433996,11.151137890153947), (46.67210189068649,11.15213769998187), (46.672983937673024,11.15099506017853), (46.67325344915869,11.14947749168972),(46.67278792847563,11.149173977991957)",60
1034990009,Bahnhof Meran Ausgang Unterführung/Stazione di Merano uscita sottopassaggio,46.6736799668088,11.1492250523844,Meran,39012,4. Novemberstraße,1,142,,false,polygon,,,"4. Novemberstraße 1, 39012 Meran",,,,,"(46.67404760351667,11.147771289821351), (46.6746434038169,11.147996412698046), (46.6746434038169,11.14894514482125), (46.67415793740119,11.150038598793756), (46.673242159335416,11.150713967423837), (46.672524972906615,11.149990358177325), (46.67317595790993,11.148494899067863), (46.67404760351667,11.147771289821351)",60
1371339801,Via Piave Terme_Piavestraße Therme,46.6691707274645,11.1596901128485,Meran,39012,Piavestraße,,25,,false,polygon,,,"Piavestraße, 39012 Meran",,,,,"(46.669288290346,11.159891144295752), (46.669365954654324,11.159525362968434), (46.66916447748417,11.159410543734879), (46.669040664338695,11.159477794964848), (46.66896862741467,11.15971563490769), (46.66911720339442,11.159971517826818), (46.66929954608412,11.159964956676271), (46.669288290346,11.159891144295752)",60
